Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language Rate,Spanish Language Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
95943,805.0,38.5,51908.0,33595.0,8.4472049689441,8.322981366459627,340500.0,1971.0,1875.0,777.0,0.0,87.71929824561404,,,20.0,9.565217391304348,0.0,81.36645962732919,11.428571428571429,99.00621118012424,0.9937888198757764,14.53416149068323,0.0,Glenn,Glenn County,39.6,-122.0,380.0,CA
95944,12.0,-666666666.0,-666666666.0,,0.0,0.0,-666666666.0,1951.0,-666666666.0,-666666666.0,0.0,100.0,,,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,Goodyears Bar,Sierra County,39.6,-120.8,40.0,CA
95945,25223.0,50.5,42778.0,27463.0,19.799389446140427,4.440391705982635,311100.0,1975.0,1801.0,968.0,0.3522677234698371,73.48084544253632,,,14.92288784046307,12.567894382111565,0.4123220869841018,87.81271062125838,5.154026087301273,92.26896086904809,0.4242159933394124,9.376362843436546,1.2330016255005352,Grass Valley,Nevada County,39.2,-120.9,12405.0,CA
95946,10206.0,51.7,62180.0,33350.0,12.835586909660984,5.761316872427984,327200.0,1984.0,2077.0,1505.0,0.5397070161912105,79.61963505525571,,,10.866157162453458,17.558299039780522,1.1267881638252009,89.44738389182834,2.3711542230060747,91.60297864001568,0.411522633744856,8.749755046051343,0.8622378992749363,Penn Valley,Nevada County,39.2,-121.2,4728.0,CA
95947,1663.0,51.7,34500.0,26272.0,14.612146722790138,3.2471437161755863,165300.0,1974.0,1427.0,861.0,0.0,72.62569832402235,,,14.97294046903187,4.449789536981359,1.4431749849669273,97.71497294046902,0.0,95.2495490078172,0.0,4.930847865303668,0.0,Greenville,Plumas County,40.2,-120.9,1012.0,CA
95948,10349.0,37.4,44423.0,20004.0,18.43656391921925,9.672432119045318,172000.0,1968.0,1343.0,807.0,0.2501389660922735,68.70483602001111,,,12.832157696395788,7.073147163977196,2.647598801816601,62.943279543917285,27.277997874190746,75.92037878055851,0.434824620736303,41.55957097304087,3.2756788095468163,Gridley,Butte County,39.4,-121.8,4015.0,CA
95949,19640.0,52.4,60459.0,31484.0,6.654786150712831,4.928716904276985,323000.0,1983.0,1952.0,1387.0,1.263537906137184,75.12893243940175,,,15.90631364562118,13.441955193482688,0.0509164969450101,92.34215885947047,2.281059063136456,94.17006109979631,0.010183299389002,4.643584521384929,1.2219959266802445,Grass Valley,Nevada County,39.1,-121.1,8938.0,CA
95950,724.0,30.9,42273.0,17753.0,16.712707182320443,3.314917127071823,111400.0,1968.0,1264.0,676.0,0.0,81.74603174603175,-666666666.0,4780.0,2.4861878453038675,3.314917127071823,2.7624309392265194,39.226519337016576,58.425414364640886,76.51933701657458,0.0,69.61325966850829,0.0,Grimes,Colusa County,39.08,-121.94,202.0,CA
95951,2948.0,26.6,37500.0,13698.0,22.693351424694708,4.952510176390773,168300.0,1977.0,1357.0,698.0,0.0,81.64616840113528,,,12.48303934871099,1.9335142469470827,2.272727272727273,18.9280868385346,63.83989145183175,80.0203527815468,1.0854816824966078,78.3921302578019,4.850746268656716,Hamilton City,Glenn County,39.73,-121.98,775.0,CA
95953,10631.0,34.8,46392.0,19369.0,18.48367980434578,5.38989746966419,159100.0,1977.0,1455.0,823.0,0.1079913606911447,73.54211663066954,,,13.357163013827485,4.665600602012981,3.217006866710564,45.13216066221428,37.68225002351613,67.44426676700216,0.4044774715454802,49.543787037908,9.397046373812437,Live Oak,Sutter County,39.2,-121.8,3407.0,CA
