Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
90001,59832.0,29.1,43360.0,13727.0,25.49638989169675,3.929335472656773,359000.0,1949,1853.0,1150.0,11.425132802124834,67.47177954847278,151130.0,503270.0,12.78078620136382,2.7443508490439896,3.5465971386549,,,41.8822703569996,8.921647279048,90.13404198422248,0.315884476534296,Los Angeles,Los Angeles County,33.97,-118.25,13788.0,CA
90002,53302.0,28.0,37285.0,13284.0,31.18832313984466,4.110539942216052,345900.0,1954,1813.0,1187.0,13.388804841149772,68.21986888552698,145880.0,464375.0,12.894450489662676,2.6152864808074745,2.986754718397058,,,42.97399722336873,18.912986379497955,78.88634572811527,1.0299801133165736,Los Angeles,Los Angeles County,33.95,-118.25,12598.0,CA
90003,73730.0,28.3,40598.0,13441.0,29.95931099959311,4.002441340024413,362800.0,1954,1892.0,1212.0,12.446958981612449,69.5001207437817,0.0,0.0,14.83656584836566,2.5132239251322392,3.754238437542385,,,33.116777431167776,20.67679370676794,78.34802658348026,0.297029702970297,Los Angeles,Los Angeles County,33.96,-118.27,17127.0,CA
90004,60541.0,35.2,49675.0,32090.0,17.78464181298624,2.6857831882525893,1063200.0,1946,3489.0,1307.0,18.395309272086525,66.07728764126868,0.0,0.0,14.228374159660396,18.39084256949836,2.1753852760938868,,,35.67664888257544,3.614079714573595,50.289886192828,25.465387093044384,Los Angeles,Los Angeles County,34.08,-118.31,24278.0,CA
90005,39732.0,35.6,38491.0,24267.0,25.99919460384577,3.289539917446894,777100.0,1950,3149.0,1235.0,27.870066170006016,52.23728656702605,0.0,0.0,15.687606966676734,16.76734118594584,2.126749219772476,,,23.336353568911708,5.763616228732508,49.48152622571227,34.22178596597201,Los Angeles,Los Angeles County,34.06,-118.31,16345.0,CA
90006,59576.0,34.1,37072.0,17791.0,26.755740566671143,3.909292332482879,608600.0,1943,2422.0,1116.0,28.109648260955,53.035959913539,0.0,0.0,15.095004699879146,10.312877668859944,4.464885188666577,,,33.61252853498053,3.1841681213911643,73.07808513495367,18.400026856452264,Los Angeles,Los Angeles County,34.05,-118.29,20332.0,CA
90007,42433.0,24.3,27406.0,17808.0,35.26029269672189,5.974123912992247,622600.0,1954,2303.0,1182.0,15.868073574352763,47.02761921236234,132240.0,259255.0,8.983574105059741,8.382626729196616,2.8421275893761933,,,36.81804256121415,10.718073197747035,51.07345697923786,19.50604482360427,Los Angeles,Los Angeles County,34.03,-118.28,12762.0,CA
90008,31754.0,43.2,43364.0,33723.0,21.036719783334384,5.435535680544184,701800.0,1954,2641.0,1203.0,9.366702071163038,75.51779075942645,75280.0,378465.0,12.47086981167727,12.395288782515587,1.1337154374252063,,,17.474963784090193,65.10990741323927,23.82691944321975,3.4074447313724257,Los Angeles,Los Angeles County,34.01,-118.35,15006.0,CA
90010,3822.0,37.1,63112.0,44814.0,11.930926216640502,4.788069073783359,866000.0,1990,4001.0,1931.0,15.546018121125416,55.93705293276109,0.0,0.0,13.160648874934587,32.234432234432234,1.8838304552590264,,,21.21925693354265,5.991627420198848,9.680795395081107,65.17530088958661,Los Angeles,Los Angeles County,34.06,-118.3,2382.0,CA
90011,111165.0,28.7,40940.0,12931.0,30.0031484729906,3.824045338011065,377600.0,1946,1976.0,1178.0,17.325117018078757,58.69369175935071,406255.0,872410.0,11.485629469707192,2.078891737507309,4.1128052894346245,,,44.67683173660775,7.637295911482931,91.02055503081006,0.5820177214051185,Los Angeles,Los Angeles County,34.01,-118.26,23547.0,CA
90012,36552.0,35.3,47027.0,30023.0,20.195885314073102,3.09969358721821,533200.0,1986,2731.0,1688.0,11.55339120615428,58.65622132825182,66790.0,248290.0,11.594440796673233,17.388925366601008,4.068176843948348,,,27.88903479973736,13.785839352155833,28.627708470124755,37.44254760341431,Los Angeles,Los Angeles County,34.06,-118.24,11370.0,CA
90013,12559.0,43.3,22316.0,41048.0,45.345967035592,5.095947129548531,657400.0,0,2565.0,741.0,23.54421279654925,38.71315600287563,69475.0,68610.0,14.682697667011706,23.321920535074447,1.0510390954693845,,,37.41539931523211,28.688589855880245,15.797436101600448,17.65267935345171,Los Angeles,Los Angeles County,34.05,-118.24,7516.0,CA
90014,8688.0,41.7,40641.0,46007.0,37.91436464088398,4.696132596685083,544500.0,0,2450.0,1710.0,14.828171404327534,44.314806957997455,31935.0,71620.0,13.524401473296502,29.35082872928177,0.0,,,44.97007366482504,23.48066298342541,14.732965009208105,18.96869244935544,Los Angeles,Los Angeles County,34.044,-118.252,4990.0,CA
90015,22651.0,31.9,43890.0,37408.0,30.02957926802349,3.739349256103483,705000.0,1993,3217.0,1375.0,23.40374841168996,43.05908513341805,0.0,0.0,8.251291333715951,16.657101231733698,2.154430267979339,,,38.69144850116992,7.319765131782261,62.0502406074787,15.760893558783277,Los Angeles,Los Angeles County,34.04,-118.27,8245.0,CA
90016,45899.0,37.4,48715.0,26323.0,16.882720756443497,2.734264363058019,566600.0,1948,2272.0,1238.0,9.967603071051348,72.47148626458971,124370.0,503490.0,14.327109523083292,11.342295039107606,2.8933092224231465,,,42.81574761977385,30.445107736552,52.41508529597595,5.318198653565437,Los Angeles,Los Angeles County,34.03,-118.36,17204.0,CA
