Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language Rate,Spanish Language Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
90001,54480,26.5,35658.0,11452.0,30.473568281938327,4.495227606461087,263100.0,1950.0,1650.0,950.0,15.91133979813972,64.20938056600039,0.0,0.0,10.772760646108663,1.5491923641703378,4.023494860499266,11.426211453744491,78.30763582966226,69.79992657856094,9.117107195301028,89.86417033773861,0.1505139500734214,Los Angeles,Los Angeles County,33.97,-118.25,13788.0,CA
90002,48613,25.4,32299.0,11323.0,32.37199925945735,3.762368090839898,238300.0,1952.0,1801.0,940.0,9.973900074571215,71.22172508078549,76350.0,320165.0,12.134614197848313,1.4214304815584309,3.248102359451176,27.854689074938804,62.03278958303334,59.21461337502314,27.15734474317569,71.92726225495238,0.1542797194166169,Los Angeles,Los Angeles County,33.95,-118.25,12598.0,CA
90003,67226,26.5,29174.0,10041.0,38.72460060095796,5.703150566745009,248400.0,1951.0,1834.0,999.0,17.20054787257544,60.78734591083816,199425.0,382225.0,11.263499241364949,2.1375658227471512,3.192217296879184,25.81144200160652,62.81349477880582,37.219230654806175,25.80697944247761,72.63558742153333,0.1918900425430637,Los Angeles,Los Angeles County,33.96,-118.27,17127.0,CA
90004,62884,35.5,38430.0,26497.0,22.56694866738757,7.552000508873482,818400.0,1950.0,3636.0,1040.0,23.387096774193548,56.37466141344496,335725.0,532730.0,11.756567648368424,17.497296609630432,2.975319636155461,24.12696393359201,44.91921633483875,34.24559506392723,3.003943769480313,50.02544367406654,26.238788881114434,Los Angeles,Los Angeles County,34.08,-118.31,24278.0,CA
90005,39592,34.0,32086.0,18688.0,26.58112750050516,6.483633057183269,664400.0,1954.0,3150.0,920.0,35.527731585640225,43.96948058299912,0.0,0.0,14.520610224287736,13.545665791068902,2.578803798747222,14.46756920590018,48.034956556880175,23.26227520711255,5.698120832491412,55.094463527985454,30.70317235805213,Los Angeles,Los Angeles County,34.06,-118.31,16345.0,CA
90006,58849,33.4,30260.0,13109.0,31.429590987102586,7.495454468215263,423600.0,1956.0,2412.0,897.0,33.20802445279837,45.47307030179531,0.0,0.0,15.400431613111524,7.2915427619840605,3.984774592601404,8.795391595439176,67.05126680147497,24.868731839113664,3.2829784703223504,74.88997264184609,18.18722493160461,Los Angeles,Los Angeles County,34.05,-118.29,20332.0,CA
90007,43653,23.5,22047.0,11093.0,38.07985705449797,6.075183836162463,408100.0,1958.0,1961.0,963.0,17.608356899636405,43.63132683095746,0.0,0.0,8.542368222115318,5.110759856138181,2.1625088768240444,31.04941241151811,47.77678510068037,35.68826884750189,9.86186516390626,55.25164364419398,15.808764575172384,Los Angeles,Los Angeles County,34.03,-118.28,12762.0,CA
90008,33754,39.2,39661.0,24031.0,25.128873614978964,6.428867689755288,478700.0,1953.0,2414.0,1000.0,11.500076769537849,73.55289421157684,0.0,0.0,14.881199265272263,10.155833382710195,0.5154944599158618,71.32784262605914,18.14896012324465,7.60502458967826,71.68335604669076,20.58422705457131,2.5863601350951,Los Angeles,Los Angeles County,34.01,-118.35,15006.0,CA
90010,3835,41.5,53353.0,48093.0,17.340286831812257,5.397653194263364,562100.0,1981.0,3363.0,1633.0,9.335649153278332,60.26921406860617,0.0,0.0,7.8748370273794,30.58670143415906,1.0169491525423728,20.39113428943937,11.316818774445894,20.234680573663624,1.199478487614081,13.402868318122556,70.58670143415907,Los Angeles,Los Angeles County,34.06,-118.3,2382.0,CA
90011,100671,27.7,30198.0,9670.0,42.173019042226656,4.186905861668206,291100.0,1944.0,1905.0,964.0,23.094784627827494,53.34603042083018,0.0,0.0,10.742915040081057,1.288355137030525,4.603113111025023,9.400919827954423,80.21475896732922,26.772357481300475,7.756950859731203,90.78384043070992,0.5969941691251701,Los Angeles,Los Angeles County,34.01,-118.26,23547.0,CA
